"Campaign name","Ad set name","Ad name",Age,Gender,Objective,Day,Reach,Impressions,Frequency,"Amount spent (INR)","Result Type",Results,"Cost per result","Clicks (all)","CPC (all)","CTR (all)","Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Post engagement","Reporting starts","Reporting ends"
,,,,,,,69951,134098,1.9170276336293,3953.71,,,,1935,2.04326098,1.44297454,1590,2.48661006,29.48373578,,2021-04-01,2021-04-30
"Job: Sales Enthusiast","Job: Sales Enthusiast","Job: Sales Enthusiast",25-34,male,CONVERSIONS,2021-04-15,65,69,1.0615384615385,8.76,,,,5,1.752,7.24637681,,,126.95652174,,2021-04-15,2021-04-15
"Job: Sales Enthusiast","Job: Sales Enthusiast","Job: Sales Enthusiast",18-24,male,CONVERSIONS,2021-04-15,22,24,1.0909090909091,2.78,actions:onsite_conversion.submit_application,2,1.39,6,0.46333333,25,2,1.39,115.83333333,2,2021-04-15,2021-04-15
"Job: Sales Enthusiast","Job: Sales Enthusiast","Job: Sales Enthusiast",18-24,male,CONVERSIONS,2021-04-14,181,217,1.1988950276243,14.17,,,,10,1.417,4.60829493,1,14.17,65.29953917,1,2021-04-14,2021-04-14
"Job: Sales Enthusiast","Job: Sales Enthusiast","Job: Sales Enthusiast",25-34,male,CONVERSIONS,2021-04-14,678,826,1.2182890855457,67.65,actions:onsite_conversion.submit_application,6,11.275,67,1.00970149,8.11138015,10,6.765,81.90072639,11,2021-04-14,2021-04-14
"Job: Sales Enthusiast","Job: Sales Enthusiast","Job: Sales Enthusiast",25-34,male,CONVERSIONS,2021-04-13,474,530,1.1181434599156,60.44,actions:onsite_conversion.submit_application,3,20.146666666667,52,1.16230769,9.81132075,12,5.03666667,114.03773585,12,2021-04-13,2021-04-13
"Sales Recruitment - Test 8Apr21","Chennai Fresher Sales recruitment",Sales-Chennai-SE-3-14-Apr-21,18-24,male,LINK_CLICKS,2021-04-13,1961,3011,1.5354411014788,34.89,"Landing page views",6,5.815,14,2.49214286,0.46496181,14,2.49214286,11.58751245,14,2021-04-13,2021-04-13
"Sales Recruitment - Test 8Apr21","Chennai Fresher Sales recruitment",Sales-Chennai-SE-3-14-Apr-21,25-34,male,LINK_CLICKS,2021-04-13,331,518,1.5649546827795,4.88,"Landing page views",1,4.88,2,2.44,0.38610039,2,2.44,9.42084942,2,2021-04-13,2021-04-13
"Sales Recruitment - Test 8Apr21","Chennai Fresher Sales recruitment",Sales-Chennai-BDE-2,25-34,male,LINK_CLICKS,2021-04-13,856,1410,1.6471962616822,13.36,"Landing page views",2,6.68,4,3.34,0.28368794,3,4.45333333,9.4751773,3,2021-04-13,2021-04-13
"Sales Recruitment - Test 8Apr21","Chennai Fresher Sales recruitment",Sales-Chennai-BDE-2,18-24,male,LINK_CLICKS,2021-04-13,4464,7149,1.6014784946237,64.8,"Landing page views",21,3.0857142857143,42,1.54285714,0.58749475,42,1.54285714,9.06420478,42,2021-04-13,2021-04-13
