"Campaign name","Ad set name","Ad name",Age,Gender,Objective,Day,Reach,Impressions,Frequency,"Amount spent (INR)","Result Type",Results,"Cost per result","Clicks (all)","CPC (all)","CTR (all)","Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Post engagement","Reporting starts","Reporting ends"
,,,,,,,7990,10248,1.2826032540676,3495.82,,,,60,58.26366667,0.58548009,53,65.95886792,341.12217018,,2021-08-01,2021-08-31
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.1,Unknown,unknown,LINK_CLICKS,2021-08-29,0,0,0,0,,,,0,,,,,,,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.0,45-54,male,LINK_CLICKS,2021-08-29,416,518,1.2451923076923,137.97,"Link clicks",2,68.985,4,34.4925,0.77220077,2,68.985,266.35135135,2,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.1,45-54,female,LINK_CLICKS,2021-08-29,377,461,1.2228116710875,131.95,"Link clicks",8,16.49375,8,16.49375,1.73535792,8,16.49375,286.22559653,8,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.1,55-64,female,LINK_CLICKS,2021-08-29,78,94,1.2051282051282,24.32,"Link clicks",2,12.16,2,12.16,2.12765957,2,12.16,258.72340426,2,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.1,25-34,female,LINK_CLICKS,2021-08-29,203,238,1.1724137931034,56.58,"Link clicks",1,56.58,1,56.58,0.42016807,1,56.58,237.73109244,1,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.0,Unknown,unknown,LINK_CLICKS,2021-08-29,0,0,0,0,,,,0,,,,,,,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.0,55-64,unknown,LINK_CLICKS,2021-08-29,3,3,1,1.2,,,,0,,0,,,400,,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.0,25-34,unknown,LINK_CLICKS,2021-08-29,9,10,1.1111111111111,5.71,"Link clicks",1,5.71,1,5.71,10,1,5.71,571,1,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.0,35-44,unknown,LINK_CLICKS,2021-08-29,15,15,1,4.03,,,,0,,0,,,268.66666667,,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.0,45-54,unknown,LINK_CLICKS,2021-08-29,19,19,1,4.13,,,,0,,0,,,217.36842105,,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.0,55-64,female,LINK_CLICKS,2021-08-29,52,62,1.1923076923077,14.36,"Link clicks",1,14.36,1,14.36,1.61290323,1,14.36,231.61290323,1,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.0,55-64,male,LINK_CLICKS,2021-08-29,78,89,1.1410256410256,25.51,"Link clicks",1,25.51,1,25.51,1.12359551,1,25.51,286.62921348,1,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.0,35-44,female,LINK_CLICKS,2021-08-29,117,130,1.1111111111111,25.57,,,,0,,0,,,196.69230769,,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.0,25-34,female,LINK_CLICKS,2021-08-29,126,147,1.1666666666667,36.29,"Link clicks",1,36.29,1,36.29,0.68027211,1,36.29,246.8707483,1,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.0,45-54,female,LINK_CLICKS,2021-08-29,216,267,1.2361111111111,88.02,"Link clicks",3,29.34,3,29.34,1.12359551,3,29.34,329.66292135,3,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.0,25-34,male,LINK_CLICKS,2021-08-29,308,345,1.1201298701299,82.2,"Link clicks",3,27.4,3,27.4,0.86956522,3,27.4,238.26086957,3,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.0,35-44,male,LINK_CLICKS,2021-08-29,286,331,1.1573426573427,87.7,"Link clicks",3,29.233333333333,5,17.54,1.51057402,3,29.23333333,264.95468278,3,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.1,45-54,unknown,LINK_CLICKS,2021-08-29,11,11,1,1.45,,,,0,,0,,,131.81818182,,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.1,35-44,unknown,LINK_CLICKS,2021-08-29,16,17,1.0625,8.36,,,,0,,0,,,491.76470588,,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.1,35-44,male,LINK_CLICKS,2021-08-29,398,477,1.1984924623116,106.94,"Link clicks",1,106.94,0,,0,1,106.94,224.19287212,1,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.1,25-34,male,LINK_CLICKS,2021-08-29,398,465,1.1683417085427,81.9,,,,0,,0,,,176.12903226,,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.1,45-54,male,LINK_CLICKS,2021-08-29,496,564,1.1370967741935,145.65,,,,0,,0,,,258.24468085,,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.1,55-64,unknown,LINK_CLICKS,2021-08-29,6,9,1.5,2.11,,,,0,,0,,,234.44444444,,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.1,55-64,male,LINK_CLICKS,2021-08-29,103,132,1.2815533980583,36.64,,,,0,,0,,,277.57575758,,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.1,25-34,unknown,LINK_CLICKS,2021-08-29,11,13,1.1818181818182,8.18,,,,0,,0,,,629.23076923,,2021-08-29,2021-08-29
AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21,AskJuno-Click-Canada-27-Aug-21-Ver-1.1,35-44,female,LINK_CLICKS,2021-08-29,224,269,1.2008928571429,67.48,,,,0,,0,,,250.85501859,,2021-08-29,2021-08-29
