Campaign name,Ad set name,Ad name,Age,Gender,Objective,Day,Reach,Impressions,Frequency,Amount spent (INR),Result Type,Results,Cost per result,Clicks (all),CPC (all),CTR (all),Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",Post engagement,Reporting starts,Reporting ends
,,,,,,,24931,48928,1.9625366010188,23298.32,,,,584,39.89438356,1.19359058,278,83.80690647,476.17560497,,2021-12-01,2021-12-31
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,55-64,male,LEAD_GENERATION,2021-12-22,44,53,1.2045454545455,35.36,,,,0,,0,,,667.16981132,,2021-12-22,2021-12-22
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,45-54,unknown,LEAD_GENERATION,2021-12-22,1,1,1,0.19,,,,0,,0,,,190,,2021-12-22,2021-12-22
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,35-44,female,LEAD_GENERATION,2021-12-22,19,23,1.2105263157895,60.7,,,,1,60.7,4.34782609,,,2639.13043478,,2021-12-22,2021-12-22
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,25-34,female,LEAD_GENERATION,2021-12-22,53,55,1.0377358490566,38.87,,,,0,,0,,,706.72727273,1,2021-12-22,2021-12-22
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,45-54,male,LEAD_GENERATION,2021-12-22,114,142,1.2456140350877,126.22,,,,1,126.22,0.70422535,,,888.87323944,,2021-12-22,2021-12-22
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,35-44,unknown,LEAD_GENERATION,2021-12-22,1,1,1,4.23,,,,0,,0,,,4230,,2021-12-22,2021-12-22
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,35-44,male,LEAD_GENERATION,2021-12-22,283,351,1.2402826855124,231.28,,,,3,77.09333333,0.85470085,2,115.64,658.91737892,2,2021-12-22,2021-12-22
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,25-34,male,LEAD_GENERATION,2021-12-22,529,625,1.1814744801512,415.56,,,,6,69.26,0.96,2,207.78,664.896,2,2021-12-22,2021-12-22
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,65+,male,LEAD_GENERATION,2021-12-22,54,68,1.2592592592593,28.4,,,,2,14.2,2.94117647,2,14.2,417.64705882,2,2021-12-22,2021-12-22
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,45-54,female,LEAD_GENERATION,2021-12-22,11,12,1.0909090909091,15.85,,,,0,,0,,,1320.83333333,,2021-12-22,2021-12-22
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,25-34,unknown,LEAD_GENERATION,2021-12-22,4,4,1,8.07,,,,0,,0,,,2017.5,,2021-12-22,2021-12-22
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,65+,female,LEAD_GENERATION,2021-12-22,2,2,1,0.74,,,,0,,0,,,370,,2021-12-22,2021-12-22
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,55-64,female,LEAD_GENERATION,2021-12-22,1,1,1,0.27,,,,0,,0,,,270,,2021-12-22,2021-12-22
AskJuno-LG-11-Dec-21-New,AskJuno-3-Loc-Industry-02-Dec-21,AskJuno-TN-Image-16-Dec-21-English,45-54,unknown,LEAD_GENERATION,2021-12-21,2,2,1,0.48,,,,0,,0,,,240,,2021-12-21,2021-12-21
