"Campaign name","Ad set name","Ad name",Age,Gender,Objective,Day,Reach,Impressions,Frequency,"Amount spent (INR)","Result Type",Results,"Cost per result","Clicks (all)","CPC (all)","CTR (all)","Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Post engagement","Reporting starts","Reporting ends"
,,,,,,,2929,3110,1.0617958347559,209.03,,,,117,1.7865812,3.76205788,65,3.21584615,67.21221865,,2021-01-01,2021-01-31
Max-life-Pondy-31-Dec-20,Max-life-Pondy-31-Dec-20-25-65,Max-life-Pondy-05-Jan-21-25-65-English,25-34,male,LEAD_GENERATION,2021-01-05,1754,1875,1.0689851767389,111.80232113782,"On-Facebook leads",19,5.8843326914643,74,1.51084218,3.94666667,38,2.94216635,59.62790461,44,2021-01-05,2021-01-05
Max-life-Pondy-31-Dec-20,Max-life-Pondy-31-Dec-20-25-65,Max-life-Pondy-05-Jan-21-25-65-English,35-44,male,LEAD_GENERATION,2021-01-05,502,528,1.0517928286853,39.099280720238,"On-Facebook leads",5,7.8198561440475,22,1.77724003,4.16666667,11,3.55448007,74.05166803,14,2021-01-05,2021-01-05
Max-life-Pondy-31-Dec-20,Max-life-Pondy-31-Dec-20-25-65,Max-life-Pondy-05-Jan-21-25-65-English,25-34,female,LEAD_GENERATION,2021-01-05,347,364,1.0489913544669,31.59173833924,"On-Facebook leads",5,6.3183476678479,19,1.66272307,5.21978022,13,2.43013372,86.79048994,14,2021-01-05,2021-01-05
Max-life-Pondy-31-Dec-20,Max-life-Pondy-31-Dec-20-25-65,Max-life-Pondy-05-Jan-21-25-65-English,45-54,male,LEAD_GENERATION,2021-01-05,128,134,1.046875,10.760810746097,,,,1,10.76081075,0.74626866,1,10.76081075,80.30455781,1,2021-01-05,2021-01-05
Max-life-Pondy-31-Dec-20,Max-life-Pondy-31-Dec-20-25-65,Max-life-Pondy-05-Jan-21-25-65-English,35-44,female,LEAD_GENERATION,2021-01-05,85,89,1.0470588235294,9.3794229479935,,,,0,,0,,,105.3867747,,2021-01-05,2021-01-05
Max-life-Pondy-31-Dec-20,Max-life-Pondy-31-Dec-20-25-65,Max-life-Pondy-05-Jan-21-25-65-English,55-64,male,LEAD_GENERATION,2021-01-05,56,60,1.0714285714286,3.723741020975,,,,0,,0,,,62.06235035,,2021-01-05,2021-01-05
Max-life-Pondy-31-Dec-20,Max-life-Pondy-31-Dec-20-25-65,Max-life-Pondy-05-Jan-21-25-65-English,45-54,female,LEAD_GENERATION,2021-01-05,29,31,1.0689655172414,1.4214280241356,,,,0,,0,,,45.85251691,,2021-01-05,2021-01-05
Max-life-Pondy-31-Dec-20,Max-life-Pondy-31-Dec-20-25-65,Max-life-Pondy-05-Jan-21-25-65-English,65+,male,LEAD_GENERATION,2021-01-05,22,23,1.0454545454545,1.0310358203237,,,,0,,0,,,44.82764436,,2021-01-05,2021-01-05
Max-life-Pondy-31-Dec-20,Max-life-Pondy-31-Dec-20-25-65,Max-life-Pondy-05-Jan-21-25-65-English,55-64,female,LEAD_GENERATION,2021-01-05,3,4,1.3333333333333,0.15015084761996,,,,1,0.15015085,25,2,0.07507542,37.5377119,2,2021-01-05,2021-01-05
Max-life-Pondy-31-Dec-20,Max-life-Pondy-31-Dec-20-25-65,Max-life-Pondy-05-Jan-21-25-65-English,65+,female,LEAD_GENERATION,2021-01-05,2,2,1,0.070070395555981,,,,0,,0,,,35.03519778,,2021-01-05,2021-01-05
