"Campaign name","Ad set name","Ad name",Age,Gender,Objective,Day,Reach,Impressions,Frequency,"Amount spent (INR)","Result Type",Results,"Cost per result","Clicks (all)","CPC (all)","CTR (all)","Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Post engagement","Reporting starts","Reporting ends"
,,,,,,,633,658,1.0394944707741,1187.91,,,,11,107.99181818,1.67173252,4,296.9775,1805.3343465,,2021-07-01,2021-07-31
"Canada Performance marketing-23-June-21",Canada-PM-23-June-21-Ver-1.0,Canada-Leads-12-July-21-Ver-1.1,45-54,female,LEAD_GENERATION,2021-07-13,80,88,1.1,125.6,,,,3,41.86666667,3.40909091,2,62.8,1427.27272727,2,2021-07-13,2021-07-13
"Canada Performance marketing-23-June-21",Canada-PM-23-June-21-Ver-1.0,Canada-Leads-12-July-21-Ver-1.1,45-54,male,LEAD_GENERATION,2021-07-13,67,70,1.044776119403,133.69,,,,0,,0,,,1909.85714286,,2021-07-13,2021-07-13
"Canada Performance marketing-23-June-21",Canada-PM-23-June-21-Ver-1.0,Canada-Leads-12-July-21-Ver-1.1,55-64,unknown,LEAD_GENERATION,2021-07-13,1,1,1,0.72,,,,0,,0,,,720,,2021-07-13,2021-07-13
"Canada Performance marketing-23-June-21",Canada-PM-23-June-21-Ver-1.0,Canada-Leads-12-July-21-Ver-1.1,55-64,female,LEAD_GENERATION,2021-07-13,5,5,1,6.1,,,,0,,0,,,1220,,2021-07-13,2021-07-13
"Canada Performance marketing-23-June-21",Canada-PM-23-June-21-Ver-1.0,Canada-Leads-12-July-21-Ver-1.1,45-54,unknown,LEAD_GENERATION,2021-07-13,6,6,1,5.17,,,,0,,0,,,861.66666667,,2021-07-13,2021-07-13
"Canada Performance marketing-23-June-21",Canada-PM-23-June-21-Ver-1.0,Canada-Leads-12-July-21-Ver-1.1,18-24,male,LEAD_GENERATION,2021-07-13,11,12,1.0909090909091,13.34,,,,0,,0,,,1111.66666667,,2021-07-13,2021-07-13
"Canada Performance marketing-23-June-21",Canada-PM-23-June-21-Ver-1.0,Canada-Leads-12-July-21-Ver-1.1,55-64,male,LEAD_GENERATION,2021-07-13,14,15,1.0714285714286,61.21,,,,2,30.605,13.33333333,1,61.21,4080.66666667,1,2021-07-13,2021-07-13
"Canada Performance marketing-23-June-21",Canada-PM-23-June-21-Ver-1.0,Canada-Leads-12-July-21-Ver-1.1,18-24,female,LEAD_GENERATION,2021-07-13,21,21,1,23.74,,,,0,,0,,,1130.47619048,,2021-07-13,2021-07-13
"Canada Performance marketing-23-June-21",Canada-PM-23-June-21-Ver-1.0,Canada-Leads-12-July-21-Ver-1.1,25-34,female,LEAD_GENERATION,2021-07-13,25,28,1.12,39.3,,,,2,19.65,7.14285714,,,1403.57142857,,2021-07-13,2021-07-13
