"Campaign name","Ad set name","Ad name",Age,Gender,Objective,Day,Reach,Impressions,Frequency,"Amount spent (INR)","Result Type",Results,"Cost per result","Clicks (all)","CPC (all)","CTR (all)","Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Post engagement","Reporting starts","Reporting ends"
,,,,,,,19319,24833,1.2854184999224,1626.55,,,,623,2.61083467,2.50875851,522,3.11599617,65.49953691,,2021-03-01,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,45-54,unknown,LEAD_GENERATION,2021-03-31,0,1,0,0.10998894361242,,,,0,,0,,,109.98894361,,2021-03-31,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,45-54,male,LEAD_GENERATION,2021-03-31,412,443,1.0752427184466,35.406440848326,,,,7,5.05806298,1.58013544,6,5.90107347,79.92424571,6,2021-03-31,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,45-54,female,LEAD_GENERATION,2021-03-31,42,44,1.047619047619,2.3597627902302,"On-Facebook leads",1,2.3597627902302,5,0.47195256,11.36363636,4,0.5899407,53.63097251,4,2021-03-31,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,18-24,female,LEAD_GENERATION,2021-03-31,188,204,1.0851063829787,13.208672228365,,,,6,2.20144537,2.94117647,5,2.64173445,64.74839328,10,2021-03-31,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,25-34,male,LEAD_GENERATION,2021-03-31,2682,2901,1.0816554809843,169.73293798372,"On-Facebook leads",9,18.859215331524,68,2.49607262,2.3440193,56,3.03094532,58.50842399,59,2021-03-31,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,35-44,male,LEAD_GENERATION,2021-03-31,1728,1963,1.1359953703704,129.22700974972,"On-Facebook leads",4,32.306752437431,55,2.349582,2.80183393,45,2.87171133,65.83138551,48,2021-03-31,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,18-24,male,LEAD_GENERATION,2021-03-31,1702,1796,1.0552291421857,79.921966026736,"On-Facebook leads",2,39.960983013368,40,1.99804915,2.22717149,32,2.49756144,44.49998108,47,2021-03-31,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,25-34,female,LEAD_GENERATION,2021-03-31,410,462,1.1268292682927,33.726609709519,"On-Facebook leads",1,33.726609709519,13,2.59435459,2.81385281,11,3.06605543,73.00131972,11,2021-03-31,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,35-44,female,LEAD_GENERATION,2021-03-31,178,216,1.2134831460674,19.118078198814,"On-Facebook leads",2,9.559039099407,6,3.18634637,2.77777778,6,3.18634637,88.50962129,6,2021-03-31,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,55-64,male,LEAD_GENERATION,2021-03-31,109,109,1,10.458948638054,"On-Facebook leads",1,10.458948638054,12,0.87157905,11.00917431,9,1.1621054,95.95365723,10,2021-03-31,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,65+,male,LEAD_GENERATION,2021-03-31,35,35,1,3.4296552417328,,,,2,1.71482762,5.71428571,1,3.42965524,97.99014976,1,2021-03-31,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,65+,female,LEAD_GENERATION,2021-03-31,0,1,0,0.0099989948738567,,,,0,,0,,,9.99899487,,2021-03-31,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,55-64,female,LEAD_GENERATION,2021-03-31,10,10,1,0.68993064629611,,,,1,0.68993065,10,1,0.68993065,68.99306463,1,2021-03-31,2021-03-31
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,25-34,male,LEAD_GENERATION,2021-03-30,2354,2627,1.1159728122345,152.98,"On-Facebook leads",7,21.854285714286,62,2.46741935,2.36010659,56,2.73178571,58.23372668,56,2021-03-30,2021-03-30
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,45-54,unknown,LEAD_GENERATION,2021-03-30,0,2,0,0.24,,,,0,,0,,,120,,2021-03-30,2021-03-30
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,55-64,female,LEAD_GENERATION,2021-03-30,8,10,1.25,0.73,,,,0,,0,,,73,,2021-03-30,2021-03-30
MCKLEAN-STUDIO-OWN,Mcklean-Studio-20-March-21,Mcklean-Studio-27-March-21,55-64,male,LEAD_GENERATION,2021-03-30,76,89,1.1710526315789,5.5,,,,1,5.5,1.12359551,1,5.5,61.79775281,1,2021-03-30,2021-03-30
