Campaign name,Ad set name,Ad name,Age,Gender,Objective,Day,Reach,Impressions,Frequency,Amount spent (INR),Result Type,Results,Cost per result,Clicks (all),CPC (all),CTR (all),Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",Post engagement,Reporting starts,Reporting ends
,,,,,,,132044,219286,1.660704007755,51245.4,,,,4639,11.04664798,2.11550213,1106,46.33399638,233.69207337,,2021-11-01,2021-11-30
AskJuno-LG-02-Sep-21,AskJuno-LG-AP-Industry-30-Nov-21,AskJuno-TN-Image-02-Sep-21-English,65+,female,LEAD_GENERATION,2021-11-30,1,1,1,0.07,,,,0,,0,,,70,,2021-11-30,2021-11-30
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-Industry-30-Nov-21,AskJuno-TN-Image-02-Sep-21-English,45-54,female,LEAD_GENERATION,2021-11-30,1,1,1,1.02,,,,0,,0,,,1020,,2021-11-30,2021-11-30
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-Industry-30-Nov-21,AskJuno-TN-Image-02-Sep-21-English,35-44,male,LEAD_GENERATION,2021-11-30,44,45,1.0227272727273,16.9,,,,0,,0,,,375.55555556,,2021-11-30,2021-11-30
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-Industry-30-Nov-21,AskJuno-TN-Image-02-Sep-21-English,25-34,female,LEAD_GENERATION,2021-11-30,18,18,1,11.61,,,,0,,0,,,645,,2021-11-30,2021-11-30
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-Industry-30-Nov-21,AskJuno-TN-Image-02-Sep-21-English,45-54,male,LEAD_GENERATION,2021-11-30,15,15,1,15.27,,,,0,,0,,,1018,,2021-11-30,2021-11-30
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-Industry-30-Nov-21,AskJuno-TN-Image-02-Sep-21-English,35-44,female,LEAD_GENERATION,2021-11-30,8,8,1,9.51,,,,0,,0,,,1188.75,,2021-11-30,2021-11-30
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-Industry-30-Nov-21,AskJuno-TN-Image-02-Sep-21-English,55-64,male,LEAD_GENERATION,2021-11-30,7,7,1,2.59,,,,0,,0,,,370,,2021-11-30,2021-11-30
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-Industry-30-Nov-21,AskJuno-TN-Image-02-Sep-21-English,65+,male,LEAD_GENERATION,2021-11-30,3,3,1,4.06,,,,0,,0,,,1353.33333333,,2021-11-30,2021-11-30
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-Industry-30-Nov-21,AskJuno-TN-Image-02-Sep-21-English,55-64,female,LEAD_GENERATION,2021-11-30,3,3,1,1.39,,,,0,,0,,,463.33333333,,2021-11-30,2021-11-30
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-Industry-30-Nov-21,AskJuno-TN-Image-02-Sep-21-English,65+,female,LEAD_GENERATION,2021-11-30,2,2,1,1.07,,,,0,,0,,,535,,2021-11-30,2021-11-30
AskJuno-LG-02-Sep-21,AskJuno-LG-AP-Industry-30-Nov-21,AskJuno-TN-Image-02-Sep-21-English,25-34,male,LEAD_GENERATION,2021-11-30,73,75,1.027397260274,40.9,,,,0,,0,,,545.33333333,,2021-11-30,2021-11-30
AskJuno-LG-02-Sep-21,AskJuno-LG-TN-Industry-30-Nov-21,AskJuno-TN-Image-04-Sep-21-Tamil,45-54,female,LEAD_GENERATION,2021-11-30,1,1,1,0,,,,0,,0,,,0,,2021-11-30,2021-11-30
AskJuno-LG-02-Sep-21,AskJuno-LG-AP-Industry-30-Nov-21,AskJuno-TN-Image-02-Sep-21-English,35-44,male,LEAD_GENERATION,2021-11-30,47,49,1.0425531914894,32.85,,,,1,32.85,2.04081633,,,670.40816327,,2021-11-30,2021-11-30
