Campaign name,Ad set name,Ad name,Age,Gender,Objective,Day,Reach,Impressions,Frequency,Amount spent (INR),Result Type,Results,Cost per result,Clicks (all),CPC (all),CTR (all),Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",Post engagement,Reporting starts,Reporting ends
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-08-Nov-21,25-34,male,LEAD_GENERATION,2021-11-23,1245,1443,1.1590361445783,375.32685168054,On-Facebook leads,1,375.32685168054,57,6.58468161,3.95010395,8,46.91585646,260.10176832,9,2021-11-23,2021-11-23
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,18-24,male,LEAD_GENERATION,2021-11-22,1578,1736,1.1001267427123,334.3,On-Facebook leads,1,334.3,27,12.38148148,1.55529954,4,83.575,192.56912442,4,2021-11-22,2021-11-22
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-02-Sep-21,AskJuno-KA-Image-02-Sep-21,25-34,female,LEAD_GENERATION,2021-11-21,4,4,1,0.64,On-Facebook leads,1,0.64,2,0.32,50,1,0.64,160,2,2021-11-21,2021-11-21
AskJuno-LG-02-Sep-21,AskJuno-LG-AP-02-Sep-21,AskJuno-AP-Image-02-Sep-21,35-44,male,LEAD_GENERATION,2021-11-21,101,103,1.019801980198,61.78,On-Facebook leads,1,61.78,3,20.59333333,2.91262136,1,61.78,599.80582524,1,2021-11-21,2021-11-21
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,55-64,male,LEAD_GENERATION,2021-11-20,238,252,1.0588235294118,57.79,On-Facebook leads,1,57.79,12,4.81583333,4.76190476,4,14.4475,229.32539683,4,2021-11-20,2021-11-20
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,45-54,male,LEAD_GENERATION,2021-11-20,450,500,1.1111111111111,99.16,On-Facebook leads,1,99.16,16,6.1975,3.2,3,33.05333333,198.32,4,2021-11-20,2021-11-20
SVGI-AJ-LG-31-Oct-21,SVGI-TN-31-Oct-21,SVGI-AJ-TN-Tamil-08-Nov-21,25-34,male,LEAD_GENERATION,2021-11-20,886,898,1.0135440180587,430.32,On-Facebook leads,2,215.16,19,22.64842105,2.11581292,5,86.064,479.19821826,6,2021-11-20,2021-11-20
SVGI-TN&KL-27-Oct-21,SVGI-TN-21-65-29-Oct-21,SVGI-Tamil-Image-27-Oct-21,25-34,male,LEAD_GENERATION,2021-11-20,964,965,1.0010373443983,203.46,On-Facebook leads,1,203.46,24,8.4775,2.48704663,7,29.06571429,210.83937824,7,2021-11-20,2021-11-20
AskJuno-LG-02-Sep-21,AskJuno-LG-TN-02-Sep-21,AskJuno-TN-Image-04-Sep-21-Tamil,25-34,male,LEAD_GENERATION,2021-11-20,452,506,1.1194690265487,153.41,On-Facebook leads,1,153.41,8,19.17625,1.58102767,4,38.3525,303.18181818,4,2021-11-20,2021-11-20
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-02-Sep-21,AskJuno-KA-Image-02-Sep-21,25-34,male,LEAD_GENERATION,2021-11-20,420,454,1.0809523809524,169.36,On-Facebook leads,1,169.36,3,56.45333333,0.66079295,1,169.36,373.03964758,1,2021-11-20,2021-11-20
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-02-Sep-21,AskJuno-KA-Image-02-Sep-21,35-44,male,LEAD_GENERATION,2021-11-20,293,327,1.1160409556314,130.92,On-Facebook leads,1,130.92,3,43.64,0.91743119,1,130.92,400.36697248,1,2021-11-20,2021-11-20
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-02-Sep-21,AskJuno-KA-Image-02-Sep-21,45-54,male,LEAD_GENERATION,2021-11-20,171,195,1.140350877193,68.74,On-Facebook leads,1,68.74,6,11.45666667,3.07692308,2,34.37,352.51282051,2,2021-11-20,2021-11-20
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-02-Sep-21,AskJuno-KA-Image-02-Sep-21,55-64,male,LEAD_GENERATION,2021-11-20,116,132,1.1379310344828,51.36,On-Facebook leads,3,17.12,9,5.70666667,6.81818182,5,10.272,389.09090909,5,2021-11-20,2021-11-20
AskJuno-LG-02-Sep-21,AskJuno-LG-AP-02-Sep-21,AskJuno-AP-Image-02-Sep-21,35-44,male,LEAD_GENERATION,2021-11-20,305,340,1.1147540983607,140.88,On-Facebook leads,2,70.44,7,20.12571429,2.05882353,3,46.96,414.35294118,3,2021-11-20,2021-11-20
AskJuno-LG-02-Sep-21,AskJuno-LG-AP-02-Sep-21,AskJuno-AP-Image-02-Sep-21,25-34,male,LEAD_GENERATION,2021-11-20,384,419,1.0911458333333,188.9,On-Facebook leads,1,188.9,3,62.96666667,0.71599045,2,94.45,450.8353222,2,2021-11-20,2021-11-20
AskJuno-LG-02-Sep-21,AskJuno-LG-AP-02-Sep-21,AskJuno-AP-Image-02-Sep-21,45-54,male,LEAD_GENERATION,2021-11-20,156,176,1.1282051282051,116.01,On-Facebook leads,1,116.01,7,16.57285714,3.97727273,3,38.67,659.14772727,4,2021-11-20,2021-11-20
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-02-Sep-21,AskJuno-KA-Image-02-Sep-21,45-54,male,LEAD_GENERATION,2021-11-18,62,65,1.0483870967742,37.29,On-Facebook leads,1,37.29,3,12.43,4.61538462,2,18.645,573.69230769,2,2021-11-18,2021-11-18
AskJuno-LG-02-Sep-21,AskJuno-LG-AP-02-Sep-21,AskJuno-AP-Image-02-Sep-21,35-44,male,LEAD_GENERATION,2021-11-18,117,128,1.0940170940171,97.8,On-Facebook leads,2,48.9,7,13.97142857,5.46875,4,24.45,764.0625,4,2021-11-18,2021-11-18
AskJuno-LG-02-Sep-21,AskJuno-LG-AP-02-Sep-21,AskJuno-AP-Image-02-Sep-21,45-54,male,LEAD_GENERATION,2021-11-18,59,67,1.135593220339,53.8,On-Facebook leads,1,53.8,5,10.76,7.46268657,2,26.9,802.98507463,2,2021-11-18,2021-11-18
AskJuno-LG-02-Sep-21,AskJuno-LG-TN-02-Sep-21,AskJuno-TN-Image-04-Sep-21-Tamil,45-54,female,LEAD_GENERATION,2021-11-18,6,6,1,5.95,On-Facebook leads,1,5.95,3,1.98333333,50,1,5.95,991.66666667,1,2021-11-18,2021-11-18
AskJuno-LG-02-Sep-21,AskJuno-LG-TN-02-Sep-21,AskJuno-TN-Image-04-Sep-21-Tamil,25-34,female,LEAD_GENERATION,2021-11-17,84,89,1.0595238095238,19.86,On-Facebook leads,1,19.86,3,6.62,3.37078652,2,9.93,223.14606742,2,2021-11-17,2021-11-17
AskJuno-LG-02-Sep-21,AskJuno-LG-AP-02-Sep-21,AskJuno-AP-Image-02-Sep-21,35-44,male,LEAD_GENERATION,2021-11-17,229,274,1.1965065502183,212.97,On-Facebook leads,3,70.99,9,23.66333333,3.28467153,4,53.2425,777.26277372,4,2021-11-17,2021-11-17
AskJuno-LG-02-Sep-21,AskJuno-LG-KA-02-Sep-21,AskJuno-KA-Image-02-Sep-21,35-44,male,LEAD_GENERATION,2021-11-17,185,218,1.1783783783784,151.33,On-Facebook leads,2,75.665,5,30.266,2.29357798,2,75.665,694.17431193,2,2021-11-17,2021-11-17
AskJuno-LG-02-Sep-21,AskJuno-LG-TN-02-Sep-21,AskJuno-TN-Image-04-Sep-21-Tamil,65+,male,LEAD_GENERATION,2021-11-17,105,127,1.2095238095238,52.41,On-Facebook leads,1,52.41,2,26.205,1.57480315,1,52.41,412.67716535,1,2021-11-17,2021-11-17
AskJuno-LG-02-Sep-21,AskJuno-LG-TN-02-Sep-21,AskJuno-TN-Image-04-Sep-21-Tamil,45-54,male,LEAD_GENERATION,2021-11-17,195,236,1.2102564102564,105.92,On-Facebook leads,1,105.92,7,15.13142857,2.96610169,4,26.48,448.81355932,4,2021-11-17,2021-11-17
AskJuno-LG-02-Sep-21,AskJuno-LG-TN-02-Sep-21,AskJuno-TN-Image-04-Sep-21-Tamil,35-44,male,LEAD_GENERATION,2021-11-17,243,294,1.2098765432099,113.32,On-Facebook leads,1,113.32,10,11.332,3.40136054,3,37.77333333,385.44217687,5,2021-11-17,2021-11-17
