Campaign name,Campaign ID,Campaign delivery,Results,Result indicator,Reporting starts,Reporting ends,Reach,Impressions,Ad set budget,Ad set budget type,Amount spent (INR),Objective,Frequency,Clicks (all),CPC (all) (INR),CTR (all),"Cost per 1,000 people reached (INR)","CPM (cost per 1,000 impressions) (INR)",Page engagement,Cost per results
AskJuno-Lead-Generation-Major-cities-24-01-19,6112114497357,inactive,2,actions:onsite_conversion.lead_grouped,2020-03-13,2020-03-13,1538,1554,Using ad set budget,0,227.37,Lead Generation,1.010403,14,16.240714,0.900901,147.83485,146.312741,12,113.685
AskJuno-Lead-Generation-Major-cities-24-01-19,6112114497357,inactive,3,actions:onsite_conversion.lead_grouped,2020-03-12,2020-03-12,4056,4208,Using ad set budget,0,576.8,Lead Generation,1.037475,55,10.487273,1.307034,142.209073,137.072243,55,192.26666666667
College-Tam-29-Jan-2020-Ver-1.0,6155132124357,inactive,1,actions:onsite_conversion.lead_grouped,2020-03-11,2020-03-11,1118,1127,Using ad set budget,0,145.11,Lead Generation,1.00805,28,5.1825,2.484472,129.794275,128.757764,11,145.11
Focus-Des-Form-28-June-19 –Ver-1.0,6126109632957,inactive,,,2020-03-11,2020-03-11,979,1008,500,Daily,299.67,Lead Generation,1.029622,41,7.309024,4.06746,306.098059,297.291667,200,
AskJuno-Lead-Generation-Major-cities-24-01-19,6112114497357,inactive,5,actions:onsite_conversion.lead_grouped,2020-03-11,2020-03-11,3904,4061,Using ad set budget,0,577.59,Lead Generation,1.040215,53,10.897925,1.305097,147.948258,142.228515,41,115.518
College-Tam-29-Jan-2020-Ver-1.0,6155132124357,inactive,,,2020-03-10,2020-03-10,5128,5407,Using ad set budget,0,594.39,Lead Generation,1.054407,146,4.071164,2.700203,115.910686,109.929721,64,
Tycoon-Construction-9-Nov-19-Ver-1.0,6140614168957,inactive,,,2020-03-10,2020-03-10,1877,1917,Using ad set budget,0,453.62,Lead Generation,1.021311,80,5.67025,4.173187,241.672882,236.630151,41,
Tycoon-Interior-Bangalore-9-Nov-19-Ver-1.0,6140576449757,inactive,,,2020-03-10,2020-03-10,1215,1254,800,Daily,396.36,Lead Generation,1.032099,23,17.233043,1.834131,326.222222,316.076555,11,
Focus-Des-Form-28-June-19 –Ver-1.0,6126109632957,inactive,,,2020-03-10,2020-03-10,1839,1915,500,Daily,524.23,Lead Generation,1.041327,44,11.914318,2.29765,285.062534,273.749347,307,
College-Tam-29-Jan-2020-Ver-1.0,6155132124357,inactive,1,actions:onsite_conversion.lead_grouped,2020-03-09,2020-03-09,4284,4346,Using ad set budget,0,569.79,Lead Generation,1.014472,117,4.87,2.692131,133.004202,131.106765,42,569.79
Tycoon-Construction-9-Nov-19-Ver-1.0,6140614168957,inactive,3,actions:onsite_conversion.lead_grouped,2020-03-09,2020-03-09,3568,3631,Using ad set budget,0,947.7,Lead Generation,1.017657,155,6.114194,4.268796,265.610987,261.002479,66,315.9
