id,reach,impressions,results,amount,frequency,clicks,cpc,ctr,cpreach,cpm,engagement,cpr
1,1538,1554,2,227.37,1.010403,14,16.240714,0.900901,147.83485,146.312741,12,113.685
2,4056,4208,3,576.8,1.037475,55,10.487273,1.307034,142.209073,137.072243,55,192.26666666667
3,1118,1127,1,145.11,1.00805,28,5.1825,2.484472,129.794275,128.757764,11,145.11
4,3904,4061,5,577.59,1.040215,53,10.897925,1.305097,147.948258,142.228515,41,115.518
5,5128,5407,0,594.39,1.054407,146,4.071164,2.700203,115.910686,109.929721,64,0
6,1877,1917,0,453.62,1.021311,80,5.67025,4.173187,241.672882,236.630151,41,0
7,1215,1254,0,396.36,1.032099,23,17.233043,1.834131,326.222222,316.076555,11,0
8,1839,1915,0,524.23,1.041327,44,11.914318,2.29765,285.062534,273.749347,307,0
9,4284,4346,1,569.79,1.014472,117,4.87,2.692131,133.004202,131.106765,42,569.79
10,3568,3631,3,947.7,1.017657,155,6.114194,4.268796,265.610987,261.002479,66,315.9
