id,reach,impressions,results,amount,frequency,clicks,cpc,ctr,cpreach,cpm,engagement,cpr
1,1538,1554,2,227.37,1.010403,14,16.240714,0.900901,147.83485,146.312741,12,113.685
2,4056,4208,3,576.8,1.037475,55,10.487273,1.307034,142.209073,137.072243,55,192.26666666667
3,1118,1127,1,145.11,1.00805,28,5.1825,2.484472,129.794275,128.757764,11,145.11
4,3904,4061,5,577.59,1.040215,53,10.897925,1.305097,147.948258,142.228515,41,115.518
5,5128,5407,0,594.39,1.054407,146,4.071164,2.700203,115.910686,109.929721,64,0
6,1877,1917,0,453.62,1.021311,80,5.67025,4.173187,241.672882,236.630151,41,0
7,1215,1254,0,396.36,1.032099,23,17.233043,1.834131,326.222222,316.076555,11,0
8,1839,1915,0,524.23,1.041327,44,11.914318,2.29765,285.062534,273.749347,307,0
9,4284,4346,1,569.79,1.014472,117,4.87,2.692131,133.004202,131.106765,42,569.79
10,3568,3631,3,947.7,1.017657,155,6.114194,4.268796,265.610987,261.002479,66,315.9
11,2947,3022,3,735.9,1.02545,73,10.080822,2.415619,249.711571,243.514229,33,245.3
12,2032,2070,1,499.91,1.018701,69,7.245072,3.333333,246.018701,241.502415,363,499.91
13,2658,2792,1,976.06,1.050414,151,6.463974,5.408309,367.215952,349.591691,74,976.06
14,2550,2717,2,852.1,1.06549,65,13.109231,2.392345,334.156863,313.617961,26,426.05
15,1419,1476,2,479.08,1.040169,45,10.646222,3.04878,337.618041,324.579946,239,239.54
16,5664,5796,2,569.63,1.023305,167,3.410958,2.881297,100.570268,98.279848,51,284.815
17,3837,3996,3,1047.55,1.041439,128,8.183984,3.203203,273.01277,262.14965,62,349.18333333333
18,2395,2504,4,814.43,1.045511,77,10.577013,3.07508,340.05428,325.251597,31,203.6075
19,1676,1717,2,491.39,1.024463,45,10.919778,2.62085,293.192124,286.191031,268,245.695
20,5120,5480,1,557.27,1.070313,199,2.800352,3.631387,108.841797,101.691606,49,557.27
21,4775,5006,1,1078.08,1.048377,149,7.235436,2.976428,225.775916,215.357571,91,1078.08
22,2791,2954,7,801.9,1.058402,77,10.414286,2.606635,287.316374,271.462424,34,114.55714285714
23,1660,1725,2,556.71,1.039157,34,16.373824,1.971014,335.36747,322.730435,225,278.355
24,4505,4938,1,622.69,1.096115,163,3.820184,3.300932,138.221976,126.101661,45,622.69
25,5192,5552,3,1081.17,1.069337,208,5.197933,3.746398,208.237673,194.735231,105,360.39
26,3024,3216,1,838.82,1.063492,96,8.737708,2.985075,277.387566,260.827114,41,838.82
27,4695,4964,3,1080.4,1.057295,208,5.194231,4.190169,230.117146,217.647059,111,360.13333333333
28,1899,2012,3,913.27,1.059505,69,13.235797,3.429423,480.921538,453.911531,27,304.42333333333
29,1112,1164,1,512.28,1.046763,41,12.494634,3.522337,460.683453,440.103093,205,512.28
30,7174,7274,11,1042.94,1.013939,197,5.294112,2.708276,145.377753,143.379159,145,94.812727272727
