,,,,,reach_x, impressions_x, amount_x, clicks_x, cpreach_x, cpm_x, engagement_x, cpr_x,reach_y, impressions_y, amount_y, clicks_y, cpreach_y, cpm_y, engagement_y, cpr_y,outcome
658.00,16436.00,33405.00,161.00,2333.13,2.03,199.00,11.72,0.60,141.95,69.84,166.00,14.49,2.03,199.00,11.72,0.60,141.95,69.84,166.00,14.49,18.29
106.00,1637.00,1759.00,1.00,481.94,1.07,75.00,6.43,4.26,294.40,273.99,21.00,481.94,1.07,75.00,6.43,4.26,294.40,273.99,21.00,481.94,577.16
201.00,3378.00,4205.00,25.00,314.43,1.24,186.00,1.69,4.42,93.08,74.78,63.00,12.58,1.24,186.00,1.69,4.42,93.08,74.78,63.00,12.58,18.55
902.00,4760.00,4916.00,3.00,384.69,1.03,102.00,3.77,2.07,80.82,78.25,58.00,128.23,1.03,102.00,3.77,2.07,80.82,78.25,58.00,128.23,152.70
401.00,5366.00,5530.00,7.00,805.88,1.03,171.00,4.71,3.09,150.18,145.73,134.00,115.13,1.03,171.00,4.71,3.09,150.18,145.73,134.00,115.13,137.15
30.00,7174.00,7274.00,11.00,1042.94,1.01,197.00,5.29,2.71,145.38,143.38,145.00,94.81,1.01,197.00,5.29,2.71,145.38,143.38,145.00,94.81,112.03
990.00,3981.00,4476.00,8.00,391.86,1.12,176.00,2.23,3.93,98.43,87.55,161.00,48.98,1.12,176.00,2.23,3.93,98.43,87.55,161.00,48.98,57.05
543.00,3754.00,3900.00,9.00,287.52,1.04,255.00,1.13,6.54,76.59,73.72,75.00,31.95,1.04,255.00,1.13,6.54,76.59,73.72,75.00,31.95,38.90
69.00,3174.00,3395.00,3.00,827.13,1.07,80.00,10.34,2.36,260.60,243.63,43.00,275.71,1.07,80.00,10.34,2.36,260.60,243.63,43.00,275.71,327.98
923.00,3472.00,3702.00,2.00,348.35,1.07,83.00,4.20,2.24,100.33,94.10,55.00,174.18,1.07,83.00,4.20,2.24,100.33,94.10,55.00,174.18,207.82
806.00,2590.00,2865.00,2.00,474.03,1.11,100.00,4.74,3.49,183.02,165.46,27.00,237.01,1.11,100.00,4.74,3.49,183.02,165.46,27.00,237.01,284.74
523.00,7866.00,8297.00,9.00,924.46,1.05,244.00,3.79,2.94,117.53,111.42,333.00,102.72,1.05,244.00,3.79,2.94,117.53,111.42,333.00,102.72,116.21
804.00,3312.00,3714.00,1.00,579.56,1.12,83.00,6.98,2.23,174.99,156.05,84.00,579.56,1.12,83.00,6.98,2.23,174.99,156.05,84.00,579.56,691.92
62.00,5246.00,5677.00,1.00,973.74,1.08,192.00,5.07,3.38,185.62,171.52,113.00,973.74,1.08,192.00,5.07,3.38,185.62,171.52,113.00,973.74,1161.31
447.00,952.00,972.00,258.00,68.35,1.02,82.00,0.83,8.44,71.80,70.32,258.00,0.26,1.02,82.00,0.83,8.44,71.80,70.32,258.00,0.26,2.97
262.00,2654.00,3261.00,15.00,231.28,1.23,114.00,2.03,3.50,87.14,70.92,77.00,15.42,1.23,114.00,2.03,3.50,87.14,70.92,77.00,15.42,20.83
988.00,1215.00,1254.00,1.00,342.62,1.03,16.00,21.41,1.28,281.99,273.22,13.00,342.62,1.03,16.00,21.41,1.28,281.99,273.22,13.00,342.62,411.59
692.00,5314.00,5709.00,5.00,579.58,1.07,233.00,2.49,4.08,109.07,101.52,60.00,115.92,1.07,233.00,2.49,4.08,109.07,101.52,60.00,115.92,138.38
462.00,7040.00,7284.00,8.00,799.13,1.03,197.00,4.06,2.70,113.51,109.71,243.00,99.89,1.03,197.00,4.06,2.70,113.51,109.71,243.00,99.89,114.93
813.00,3039.00,3146.00,19.00,230.98,1.04,268.00,0.86,8.52,76.01,73.42,190.00,12.16,1.04,268.00,0.86,8.52,76.01,73.42,190.00,12.16,13.98
432.00,2.00,2.00,1.00,0.07,1.00,0.00,0.00,0.00,35.00,35.00,1.00,0.07,1.00,0.00,0.00,0.00,35.00,35.00,1.00,0.07,4.38
556.00,5530.00,5638.00,7.00,1160.49,1.02,95.00,12.22,1.68,209.85,205.83,141.00,165.78,1.02,95.00,12.22,1.68,209.85,205.83,141.00,165.78,197.02
858.00,9676.00,10250.00,7.00,984.72,1.06,148.00,6.65,1.44,101.77,96.07,94.00,140.67,1.06,148.00,6.65,1.44,101.77,96.07,94.00,140.67,166.85
331.00,1716.00,2162.00,19.00,117.00,1.26,176.00,0.66,8.14,68.18,54.12,63.00,6.16,1.26,176.00,0.66,8.14,68.18,54.12,63.00,6.16,10.42
722.00,6910.00,7174.00,8.00,493.83,1.04,85.00,5.81,1.18,71.47,68.84,70.00,61.73,1.04,85.00,5.81,1.18,71.47,68.84,70.00,61.73,71.57
580.00,1834.00,1965.00,1.00,513.78,1.07,53.00,9.69,2.70,280.14,261.47,46.00,513.78,1.07,53.00,9.69,2.70,280.14,261.47,46.00,513.78,612.41
163.00,4202.00,4947.00,7.00,298.57,1.18,114.00,2.62,2.30,71.05,60.35,36.00,42.65,1.18,114.00,2.62,2.30,71.05,60.35,36.00,42.65,52.19
719.00,16196.00,34161.00,42.00,506.29,2.11,54.00,9.38,0.16,31.26,14.82,42.00,12.05,2.11,54.00,9.38,0.16,31.26,14.82,42.00,12.05,10.30
190.00,3474.00,4174.00,9.00,303.02,1.20,143.00,2.12,3.43,87.23,72.60,41.00,33.67,1.20,143.00,2.12,3.43,87.23,72.60,41.00,33.67,42.37
514.00,7296.00,7478.00,1.00,1002.49,1.02,97.00,10.33,1.30,137.40,134.06,160.00,1002.49,1.02,97.00,10.33,1.30,137.40,134.06,160.00,1002.49,1192.16
750.00,2040.00,2114.00,2.00,247.30,1.04,32.00,7.73,1.51,121.23,116.98,25.00,123.65,1.04,32.00,7.73,1.51,121.23,116.98,25.00,123.65,146.50
912.00,1693.00,1770.00,2.00,351.58,1.05,23.00,15.29,1.30,207.67,198.63,19.00,175.79,1.05,23.00,15.29,1.30,207.67,198.63,19.00,175.79,211.95
506.00,2962.00,3140.00,2.00,493.89,1.06,77.00,6.41,2.45,166.74,157.29,76.00,246.94,1.06,77.00,6.41,2.45,166.74,157.29,76.00,246.94,295.07
395.00,1059.00,1089.00,71.00,78.98,1.03,87.00,0.91,7.99,74.58,72.53,71.00,1.11,1.03,87.00,0.91,7.99,74.58,72.53,71.00,1.11,5.11
1000.00,3729.00,4020.00,4.00,491.59,1.08,82.00,6.00,2.04,131.83,122.29,85.00,122.90,1.08,82.00,6.00,2.04,131.83,122.29,85.00,122.90,146.71
141.00,3169.00,3572.00,7.00,303.28,1.13,99.00,3.06,2.77,95.70,84.90,38.00,43.33,1.13,99.00,3.06,2.77,95.70,84.90,38.00,43.33,52.38
653.00,4369.00,5113.00,4.00,351.17,1.17,245.00,1.43,4.79,80.38,68.68,110.00,87.79,1.17,245.00,1.43,4.79,80.38,68.68,110.00,87.79,103.09
181.00,1307.00,1314.00,1.00,158.95,1.01,54.00,2.94,4.11,121.61,120.97,9.00,158.95,1.01,54.00,2.94,4.11,121.61,120.97,9.00,158.95,189.83
805.00,5280.00,5564.00,7.00,516.91,1.05,85.00,6.08,1.53,97.90,92.90,67.00,73.84,1.05,85.00,6.08,1.53,97.90,92.90,67.00,73.84,86.72
625.00,1401.00,1459.00,1.00,255.25,1.04,34.00,7.51,2.33,182.19,174.95,30.00,255.25,1.04,34.00,7.51,2.33,182.19,174.95,30.00,255.25,304.76
257.00,5990.00,6186.00,4.00,810.41,1.03,94.00,8.62,1.52,135.29,131.01,149.00,202.60,1.03,94.00,8.62,1.52,135.29,131.01,149.00,202.60,239.95
761.00,3104.00,3455.00,5.00,346.33,1.11,119.00,2.91,3.44,111.58,100.24,85.00,69.27,1.11,119.00,2.91,3.44,111.58,100.24,85.00,69.27,82.78
439.00,5166.00,5832.00,65.00,295.39,1.13,369.00,0.80,6.33,57.18,50.65,238.00,4.54,1.13,369.00,0.80,6.33,57.18,50.65,238.00,4.54,5.83
84.00,4547.00,4638.00,6.00,804.73,1.02,95.00,8.47,2.05,176.98,173.51,72.00,134.12,1.02,95.00,8.47,2.05,176.98,173.51,72.00,134.12,158.38
247.00,6948.00,7515.00,49.00,576.32,1.08,305.00,1.89,4.06,82.95,76.69,230.00,11.76,1.08,305.00,1.89,4.06,82.95,76.69,230.00,11.76,12.49
670.00,2071.00,2087.00,3.00,203.45,1.01,18.00,11.30,0.86,98.24,97.48,23.00,67.82,1.01,18.00,11.30,0.86,98.24,97.48,23.00,67.82,81.01
730.00,52.00,52.00,15.00,4.89,1.00,2.00,2.44,3.85,94.04,94.04,15.00,0.33,1.00,2.00,2.44,3.85,94.04,94.04,15.00,0.33,-0.74
1012.00,3470.00,3973.00,6.00,236.45,1.14,198.00,1.19,4.98,68.14,59.51,103.00,39.41,1.14,198.00,1.19,4.98,68.14,59.51,103.00,39.41,47.54
368.00,949.00,983.00,7.00,64.29,1.04,59.00,1.09,6.00,67.74,65.40,37.00,9.18,1.04,59.00,1.09,6.00,67.74,65.40,37.00,9.18,12.81
