,,,,,reach_x, impressions_x, amount_x, clicks_x, cpreach_x, cpm_x, engagement_x, cpr_x,reach_y, impressions_y, amount_y, clicks_y, cpreach_y, cpm_y, engagement_y, cpr_y,outcome
976.00,4062.00,4230.00,3.00,346.28,1.04,40.00,8.66,0.95,85.25,81.86,57.00,115.43,1.04,40.00,8.66,0.95,85.25,81.86,57.00,115.43,125.67
730.00,52.00,52.00,15.00,4.89,1.00,2.00,2.45,3.85,94.04,94.04,15.00,0.33,1.00,2.00,2.44,3.85,94.04,94.04,15.00,0.33,17.93
1018.00,1684.00,1780.00,1.00,224.28,1.06,42.00,5.34,2.36,133.18,126.00,10.00,224.28,1.06,42.00,5.34,2.36,133.18,126.00,10.00,224.28,228.27
633.00,2979.00,3179.00,5.00,313.42,1.07,47.00,6.67,1.48,105.21,98.59,38.00,62.68,1.07,47.00,6.67,1.48,105.21,98.59,38.00,62.68,75.94
105.00,1364.00,1422.00,18.00,98.66,1.04,182.00,0.54,12.80,72.33,69.38,57.00,5.48,1.04,182.00,0.54,12.80,72.33,69.38,57.00,5.48,21.73
209.00,4641.00,4806.00,6.00,796.10,1.04,85.00,9.37,1.77,171.54,165.65,53.00,132.68,1.04,85.00,9.37,1.77,171.54,165.65,53.00,132.68,142.04
695.00,4123.00,4523.00,2.00,287.99,1.10,197.00,1.46,4.36,69.85,63.67,98.00,144.00,1.10,197.00,1.46,4.36,69.85,63.67,98.00,144.00,151.95
772.00,2600.00,2642.00,2.00,243.36,1.02,30.00,8.11,1.14,93.60,92.11,42.00,121.68,1.02,30.00,8.11,1.14,93.60,92.11,42.00,121.68,131.45
716.00,38256.00,85577.00,72.00,1168.79,2.24,90.00,12.99,0.11,30.55,13.66,75.00,16.23,2.24,90.00,12.99,0.11,30.55,13.66,75.00,16.23,27.87
917.00,3377.00,3777.00,4.00,306.09,1.12,102.00,3.00,2.70,90.64,81.04,48.00,76.52,1.12,102.00,3.00,2.70,90.64,81.04,48.00,76.52,89.00
811.00,3357.00,3475.00,11.00,206.61,1.04,49.00,4.22,1.41,61.55,59.46,31.00,18.78,1.04,49.00,4.22,1.41,61.55,59.46,31.00,18.78,34.56
575.00,870.00,877.00,18.00,54.09,1.01,212.00,0.26,24.17,62.17,61.68,75.00,3.00,1.01,212.00,0.26,24.17,62.17,61.68,75.00,3.00,17.41
330.00,1852.00,2231.00,15.00,116.42,1.20,137.00,0.85,6.14,62.86,52.18,48.00,7.76,1.20,137.00,0.85,6.14,62.86,52.18,48.00,7.76,24.30
1004.00,2077.00,2268.00,2.00,283.14,1.09,49.00,5.78,2.16,136.32,124.84,62.00,141.57,1.09,49.00,5.78,2.16,136.32,124.84,62.00,141.57,150.46
447.00,952.00,972.00,258.00,68.35,1.02,82.00,0.83,8.44,71.80,70.32,258.00,0.26,1.02,82.00,0.83,8.44,71.80,70.32,258.00,0.26,13.21
174.00,2977.00,3143.00,3.00,792.31,1.06,67.00,11.83,2.13,266.14,252.09,35.00,264.10,1.06,67.00,11.83,2.13,266.14,252.09,35.00,264.10,266.23
605.00,8006.00,8466.00,6.00,56.88,1.06,7.00,8.13,0.08,7.10,6.72,9.00,9.48,1.06,7.00,8.13,0.08,7.10,6.72,9.00,9.48,26.24
751.00,2428.00,2507.00,2.00,243.89,1.03,35.00,6.97,1.40,100.45,97.28,25.00,121.94,1.03,35.00,6.97,1.40,100.45,97.28,25.00,121.94,131.70
620.00,2197.00,2378.00,4.00,302.07,1.08,62.00,4.87,2.61,137.49,127.03,47.00,75.52,1.08,62.00,4.87,2.61,137.49,127.03,47.00,75.52,88.07
962.00,2235.00,2400.00,2.00,348.88,1.07,67.00,5.21,2.79,156.10,145.37,16.00,174.44,1.07,67.00,5.21,2.79,156.10,145.37,16.00,174.44,181.32
532.00,8452.00,8499.00,4.00,634.24,1.01,239.00,2.65,2.81,75.04,74.63,371.00,158.56,1.01,239.00,2.65,2.81,75.04,74.63,371.00,158.56,162.40
338.00,998.00,1146.00,2.00,790.24,1.15,16.00,49.39,1.40,791.82,689.56,0.00,395.12,1.15,16.00,49.39,1.40,791.82,689.56,0.00,395.12,391.06
203.00,3309.00,3451.00,3.00,816.38,1.04,63.00,12.96,1.83,246.72,236.56,41.00,272.13,1.04,63.00,12.96,1.83,246.72,236.56,41.00,272.13,273.76
499.00,3236.00,3321.00,2.00,520.33,1.03,95.00,5.48,2.86,160.79,156.68,78.00,260.17,1.03,95.00,5.48,2.86,160.79,156.68,78.00,260.17,262.14
666.00,368.00,369.00,1.00,37.50,1.00,4.00,9.38,1.08,101.90,101.63,7.00,37.50,1.00,4.00,9.38,1.08,101.90,101.63,7.00,37.50,53.25
791.00,934.00,964.00,4.00,97.40,1.03,28.00,3.48,2.90,104.28,101.04,18.00,24.35,1.03,28.00,3.48,2.90,104.28,101.04,18.00,24.35,40.48
646.00,6426.00,16503.00,60.00,825.37,2.57,76.00,10.86,0.46,128.44,50.01,64.00,13.76,2.57,76.00,10.86,0.46,128.44,50.01,64.00,13.76,25.31
554.00,3348.00,3449.00,5.00,223.46,1.03,330.00,0.68,9.57,66.74,64.79,85.00,44.69,1.03,330.00,0.68,9.57,66.74,64.79,85.00,44.69,57.93
899.00,5168.00,5241.00,9.00,828.86,1.01,87.00,9.53,1.66,160.38,158.15,52.00,92.10,1.01,87.00,9.53,1.66,160.38,158.15,52.00,92.10,103.68
558.00,3900.00,4180.00,2.00,348.36,1.07,115.00,3.03,2.75,89.32,83.34,65.00,174.18,1.07,115.00,3.03,2.75,89.32,83.34,65.00,174.18,180.96
729.00,4910.00,5063.00,4.00,385.21,1.03,47.00,8.20,0.93,78.45,76.08,38.00,96.30,1.03,47.00,8.20,0.93,78.45,76.08,38.00,96.30,107.58
325.00,2200.00,2591.00,16.00,116.12,1.18,134.00,0.87,5.17,52.78,44.82,45.00,7.26,1.18,134.00,0.87,5.17,52.78,44.82,45.00,7.26,23.75
631.00,1102.00,1217.00,3.00,298.31,1.10,44.00,6.78,3.62,270.70,245.12,28.00,99.44,1.10,44.00,6.78,3.62,270.70,245.12,28.00,99.44,110.90
548.00,4202.00,4393.00,5.00,500.39,1.05,47.00,10.65,1.07,119.08,113.91,33.00,100.08,1.05,47.00,10.65,1.07,119.08,113.91,33.00,100.08,111.22
708.00,2279.00,2610.00,2.00,175.73,1.15,115.00,1.53,4.41,77.11,67.33,51.00,87.86,1.15,115.00,1.53,4.41,77.11,67.33,51.00,87.86,99.50
58.00,5032.00,5403.00,8.00,963.74,1.07,192.00,5.02,3.55,191.52,178.37,128.00,120.47,1.07,192.00,5.02,3.55,191.52,178.37,128.00,120.47,130.57
683.00,3449.00,3764.00,13.00,164.16,1.09,329.00,0.50,8.74,47.60,43.61,98.00,12.63,1.09,329.00,0.50,8.74,47.60,43.61,98.00,12.63,27.85
591.00,6210.00,6410.00,4.00,500.27,1.03,34.00,14.71,0.53,80.56,78.05,41.00,125.07,1.03,34.00,14.71,0.53,80.56,78.05,41.00,125.07,134.70
938.00,344.00,362.00,1.00,205.14,1.05,9.00,22.79,2.49,596.34,566.69,2.00,205.14,1.05,9.00,22.79,2.49,596.34,566.69,2.00,205.14,211.36
652.00,3683.00,4110.00,2.00,346.56,1.12,37.00,9.37,0.90,94.10,84.32,36.00,173.28,1.12,37.00,9.37,0.90,94.10,84.32,36.00,173.28,180.41
809.00,4543.00,4859.00,6.00,642.02,1.07,60.00,10.70,1.23,141.32,132.13,41.00,107.00,1.07,60.00,10.70,1.23,141.32,132.13,41.00,107.00,117.85
628.00,1874.00,2032.00,1.00,308.24,1.08,45.00,6.85,2.21,164.48,151.69,28.00,308.24,1.08,45.00,6.85,2.21,164.48,151.69,28.00,308.24,307.64
496.00,2323.00,2528.00,3.00,505.18,1.09,98.00,5.15,3.88,217.47,199.83,73.00,168.39,1.09,98.00,5.15,3.88,217.47,199.83,73.00,168.39,175.79
799.00,1677.00,1730.00,8.00,265.97,1.03,46.00,5.78,2.66,158.60,153.74,22.00,33.25,1.03,46.00,5.78,2.66,158.60,153.74,22.00,33.25,48.19
